Row Labels,Average of steps
835,206.1698113
840,195.9245283
850,183.3962264
845,179.5660377
830,177.3018868
820,171.1509434
855,167.0188679
815,157.5283019
825,155.3962264
900,143.4528302
810,129.4339623
905,124.0377358
910,109.1132075
915,108.1132075
920,103.7169811
1550,102.1132075
1845,99.45283019
1545,98.66037736
925,95.96226415
1210,94.8490566
1215,92.77358491
1205,87.69811321
1850,86.58490566
1855,85.60377358
1840,85.33962264
1815,85.32075472
1900,84.86792453
1555,83.96226415
1540,82.90566038
1725,78.94339623
1905,77.83018868
1830,77.69811321
1740,75.09433962
1810,74.69811321
1610,74.54716981
1835,74.24528302
800,73.37735849
1720,72.71698113
745,69.54716981
1730,68.94339623
805,68.20754717
1825,67.77358491
1255,67.28301887
930,66.20754717
1535,65.32075472
1605,64.13207547
1200,63.86792453
615,63.45283019
1220,63.39622642
1615,63.16981132
1600,62.13207547
1715,61.22641509
1355,60.81132075
1625,59.77358491
1735,59.66037736
1820,59.26415094
1155,59.18867925
1910,58.03773585
1805,58.01886792
750,57.8490566
1620,56.90566038
1745,56.50943396
1325,56.43396226
1705,56.30188679
755,56.1509434
1400,55.75471698
730,55.67924528
715,54.50943396
1230,54.47169811
610,53.77358491
1345,53.54716981
1915,53.35849057
1015,52.66037736
740,52.26415094
630,52.1509434
1405,51.96226415
725,50.98113208
1025,50.79245283
1710,50.71698113
710,50.50943396
1225,50.16981132
1135,49.98113208
620,49.96226415
720,49.9245283
605,49.26415094
655,49.03773585
1415,48.69811321
1530,48.13207547
1525,47.75471698
1350,47.32075472
625,47.0754717
1700,46.62264151
1320,46.24528302
1650,46.20754717
1150,46.03773585
1520,45.96226415
1950,45.66037736
1645,45.45283019
935,45.22641509
1250,45.05660377
1640,44.66037736
1145,44.60377358
555,44.49056604
705,44.37735849
735,44.32075472
1030,44.28301887
645,44.16981132
640,44.01886792
1630,43.86792453
700,43.81132075
1455,43.77358491
1655,43.67924528
1450,43.62264151
1410,43.58490566
1310,43.26415094
1330,42.75471698
1010,42.41509434
1300,42.33962264
1140,42.03773585
1430,41.8490566
1315,40.98113208
1800,40.67924528
1000,40.56603774
1935,40.01886792
1340,39.96226415
1305,39.88679245
550,39.45283019
635,39.33962264
1020,38.9245283
1515,38.8490566
945,38.75471698
1635,38.56603774
1245,37.73584906
1425,37.54716981
1755,37.45283019
1035,37.41509434
650,37.35849057
1920,36.32075472
1505,36.0754717
1510,35.49056604
1420,35.47169811
950,34.98113208
1750,34.77358491
1040,34.69811321
1955,33.52830189
1130,33.43396226
2015,33.33962264
1235,32.41509434
2050,32.30188679
1055,31.94339623
600,31.49056604
1100,31.35849057
1940,30.20754717
1500,30.01886792
1105,29.67924528
1120,28.37735849
1045,28.33962264
1435,27.50943396
1930,27.39622642
2030,27.30188679
1005,26.98113208
2020,26.81132075
1240,26.52830189
1125,26.47169811
1445,26.0754717
1115,25.54716981
1945,25.54716981
1335,25.13207547
1050,25.09433962
940,24.79245283
2110,23.45283019
2035,21.33962264
2045,21.32075472
1110,21.32075472
2025,21.16981132
955,21.05660377
1925,20.71698113
2055,20.1509434
2000,19.62264151
2040,19.54716981
2010,19.33962264
2115,19.24528302
2005,19.01886792
545,18.33962264
2105,17.22641509
1440,17.11320755
2135,16.30188679
540,16.01886792
2100,15.94339623
2130,14.66037736
2120,12.45283019
2230,9.754716981
2225,8.698113208
2140,8.679245283
2215,8.509433962
2150,8.132075472
2125,8.018867925
2145,7.79245283
2220,7.075471698
535,6.056603774
2210,4.811320755
2335,4.698113208
2255,4.603773585
430,4.113207547
2205,3.679245283
440,3.490566038
520,3.320754717
2300,3.301886792
2340,3.301886792
450,3.113207547
510,3
525,2.962264151
2305,2.849056604
2155,2.622641509
2330,2.603773585
410,2.566037736
515,2.245283019
2235,2.20754717
530,2.094339623
25,2.094339623
130,1.830188679
0,1.716981132
330,1.622641509
2250,1.603773585
2325,1.58490566
505,1.566037736
250,1.547169811
45,1.471698113
2200,1.452830189
400,1.188679245
210,1.132075472
455,1.113207547
125,1.113207547
2355,1.075471698
2320,0.962264151
405,0.943396226
255,0.943396226
35,0.867924528
2315,0.830188679
445,0.830188679
105,0.679245283
435,0.660377358
2345,0.641509434
325,0.622641509
335,0.58490566
30,0.528301887
340,0.490566038
145,0.377358491
425,0.358490566
115,0.339622642
420,0.339622642
5,0.339622642
2240,0.320754717
100,0.320754717
50,0.301886792
150,0.264150943
2350,0.226415094
235,0.226415094
320,0.20754717
135,0.169811321
140,0.169811321
110,0.150943396
15,0.150943396
55,0.132075472
10,0.132075472
225,0.132075472
2245,0.113207547
345,0.075471698
20,0.075471698
315,0
205,0
350,0
355,0
300,0
215,0
310,0
2310,0
40,0
220,0
305,0
120,0
240,0
200,0
245,0
155,0
230,0
415,0
500,0
Grand Total,37.38259958
